ch4,ch5,ch3
0.002447,-0.018319,-0.004116
0.003467,-0.018582,-0.003588
0.005179,-0.018172,-0.002737
0.004676,-0.018356,-0.001377
0.002296,-0.019981,-8.9e-05
0.000397,-0.022208,0.001351
-0.000635,-0.02198,0.001657
-0.001283,-0.019891,0.00061
-0.000523,-0.018242,0.000423
0.001745,-0.017712,-0.001137
0.00248,-0.015816,-0.003441
0.002357,-0.013053,-0.002252
0.002206,-0.012413,-0.000106
0.003,-0.012875,0.001127
0.00438,-0.011983,-0.001043
0.005333,-0.010416,-0.003621
0.005316,-0.008428,-0.00307
0.004398,-0.007577,-0.000979
0.003873,-0.008012,-0.000478
0.002784,-0.009049,-0.001409
0.000496,-0.009481,-0.001835
-0.002151,-0.009827,-0.003034
-0.003117,-0.00806,-0.005076
-0.003471,-0.006147,-0.005837
-0.00229,-0.0074,-0.005553
-0.001505,-0.008752,-0.005885
-0.002024,-0.008673,-0.006187
-0.004357,-0.010696,-0.00598
-0.00512,-0.012379,-0.005566
-0.004091,-0.012648,-0.005667
-0.004362,-0.011403,-0.005282
-0.005641,-0.010818,-0.005324
-0.005178,-0.012877,-0.006037
-0.003396,-0.016407,-0.004835
-0.003529,-0.018274,-0.002288
-0.003236,-0.01729,-0.001025
-0.001254,-0.014581,-0.000284
0.00021,-0.014265,-0.001366
9e-06,-0.01747,-0.004725
-0.001179,-0.018279,-0.00548
-0.001536,-0.017154,-0.003146
-0.001702,-0.017645,0.000155
-0.001767,-0.017257,0.001345
-0.000891,-0.016416,0.000158
0.000531,-0.017274,0.00066
-3.8e-05,-0.018801,0.002558
-0.001294,-0.019187,0.003091
0.000181,-0.018316,0.002104
0.002346,-0.016474,0.001102
0.003121,-0.015187,0.000306
0.001473,-0.014345,0.000179
-0.000681,-0.013051,0.001085
-0.001516,-0.009053,0.00119
-0.002892,-0.006462,0.000727
-0.003434,-0.007441,-0.000436
-0.00255,-0.008841,-0.000595
-0.001124,-0.008046,-0.002536
-0.000408,-0.006284,-0.003757
-0.001217,-0.005332,-0.003505
-0.001759,-0.006426,-0.004931
-0.002249,-0.008585,-0.007578
-0.003849,-0.010035,-0.008135
-0.006522,-0.009723,-0.006381
-0.007759,-0.009859,-0.005892
-0.005071,-0.011668,-0.00556
-0.002592,-0.014196,-0.006038
-0.001268,-0.014226,-0.006814
0.001214,-0.013652,-0.005488
0.002845,-0.014407,-0.005156
0.002689,-0.01689,-0.006649
0.002064,-0.017386,-0.00614
0.001241,-0.017377,-0.004243
-0.000153,-0.018668,-0.00423
-0.000944,-0.019208,-0.004404
-0.000234,-0.017687,-0.001631
0.000461,-0.015791,0.001296
-0.000284,-0.014607,0.000343
-0.001637,-0.013881,-0.00247
-0.002165,-0.014365,-0.003766
-0.002174,-0.015959,-0.003546
-0.003818,-0.015907,-0.003095
-0.005438,-0.015947,-0.002181
-0.006029,-0.018254,-0.002511
-0.006638,-0.019792,-0.004332
-0.006146,-0.018483,-0.003932
-0.004269,-0.017138,-0.003245
-0.004744,-0.017883,-0.001969
-0.008346,-0.018847,-0.000994
-0.011528,-0.016832,-0.001713
-0.011257,-0.012943,-0.003192
-0.00955,-0.011488,-0.003781
-0.007888,-0.012176,-0.003878
-0.007079,-0.010948,-0.003038
-0.007126,-0.008161,-0.002187
-0.004398,-0.005675,-0.001756
-0.000318,-0.003968,-0.000946
0.000241,-0.002534,0.000226
-0.001056,-0.002143,-0.000292
-0.002524,-0.004091,-0.002378
-0.002938,-0.006691,-0.003548
-0.001742,-0.007424,-0.00232
0.001164,-0.007025,-0.001525
0.003409,-0.008745,-0.002437
0.003473,-0.010761,-0.00287
0.002072,-0.010916,-0.003406
-0.00094,-0.011239,-0.003698
-0.003525,-0.012231,-0.003173
-0.003116,-0.011941,-0.002846
-0.001837,-0.012092,-0.002328
0.000386,-0.0138,-0.001177
0.001177,-0.015783,-0.000734
0.00043,-0.015686,-0.002412
-0.002321,-0.013986,-0.004177
-0.004979,-0.01389,-0.003349
-0.006001,-0.015106,-0.001904
-0.006437,-0.015634,-0.000638
-0.004562,-0.015091,0.002329
-0.002632,-0.015778,0.004129
-0.002497,-0.017412,0.002449
-0.00252,-0.018454,0.001193
-0.002169,-0.01929,0.002247
-0.001811,-0.019532,0.003393
-0.0012,-0.018288,0.002511
0.000596,-0.017473,0.002543
0.00196,-0.016597,0.002653
0.001499,-0.015628,0.000674
-0.00062,-0.014199,-0.000322
-0.002221,-0.012168,0.000554
-0.002094,-0.010802,0.001301
-0.001731,-0.010832,0.002381
-0.000636,-0.010498,0.002617
0.000519,-0.010143,0.000215
-0.0001,-0.009895,-0.00139
-0.00034,-0.011763,-0.000529
0.00066,-0.0135,-0.000615
0.000528,-0.012267,-0.002443
0.000782,-0.009775,-0.002834
0.000976,-0.0079,-0.002378
1e-05,-0.006967,-0.000787
-0.001434,-0.007348,-0.00026
-0.001661,-0.008388,-0.001185
-8.6e-05,-0.008917,-0.00223
0.000897,-0.008429,-0.003558
0.001624,-0.009483,-0.005702
0.001578,-0.012202,-0.007965
0.000615,-0.01293,-0.008266
-0.002393,-0.012579,-0.007076
-0.004103,-0.011955,-0.006207
-0.001106,-0.012226,-0.005298
0.002546,-0.012403,-0.003209
0.004545,-0.013416,-0.000922
0.004921,-0.015687,0.001706
0.002815,-0.017298,0.002196
0.001344,-0.016685,0.000187
0.001367,-0.014841,-0.001746
0.001189,-0.014293,-0.002962
0.000189,-0.014712,-0.002579
-0.000695,-0.016526,-0.00172
-0.001403,-0.01807,-0.000634
-0.003066,-0.019096,-0.000213
-0.005026,-0.01861,-0.001485
-0.005856,-0.017891,-0.003283
-0.005534,-0.018697,-0.004248
-0.005581,-0.017805,-0.004907
-0.005405,-0.015773,-0.005962
-0.003902,-0.016334,-0.007627
-0.001622,-0.01873,-0.008241
-7.6e-05,-0.019134,-0.006177
-0.000352,-0.016585,-0.002726
-0.001291,-0.015578,-0.001531
-0.001258,-0.015091,-0.002729
-0.000635,-0.011965,-0.003757
-0.000794,-0.008242,-0.002948
-0.001652,-0.006462,-0.002389
-0.000634,-0.007075,-0.002095
0.000164,-0.008547,-0.000288
-0.001352,-0.007861,0.000205
-0.001928,-0.006363,-0.001002
-0.001505,-0.006517,-0.00238
-0.002457,-0.007516,-0.00227
-0.002689,-0.008184,-0.002144
-0.003078,-0.008958,-0.002356
-0.003101,-0.009837,-0.002368
-0.002385,-0.011207,-0.003248
-0.001658,-0.012337,-0.002982
-0.002652,-0.013755,-0.001166
-0.003165,-0.014837,-0.001122
-0.001517,-0.0153,-0.003376
0.000272,-0.014661,-0.002973
-0.000896,-0.013772,-0.000284
-0.00326,-0.01513,0.000826
-0.003329,-0.017492,-0.001216
-0.002728,-0.018393,-0.002707
-0.00356,-0.018063,-0.001798
-0.006251,-0.017523,-0.000557
-0.007854,-0.018313,-0.001249
-0.007831,-0.018495,-0.003052
-0.006609,-0.017497,-0.003592
-0.004979,-0.016549,-0.003501
-0.004404,-0.016029,-0.005331
-0.003878,-0.016563,-0.006488
-0.002834,-0.018058,-0.005712
-0.001901,-0.01998,-0.005218
0.000944,-0.020216,-0.005807
0.003825,-0.01922,-0.006858
0.003525,-0.017658,-0.005847
0.001234,-0.016179,-0.00197
